molecule_id,spectrum_id,training_sources,matching_structure_count,top_prediction_matches,training_keys
m_d258c4,s_a778b111,enveda-180,1,True,BEQGIEMUAXJBEJ
m_db2018,s_8f26757c,enveda-180,1,True,ACLBTYJVRAEIHE
m_cfb3df,s_b07d21bc,enveda-180,1,True,AWBWJUXMOPNKAB
m_daf5f1,s_84c0ec83,enveda-180,1,True,AEZVEHDWBLNQQX
m_88505f,s_54cb517c,enveda-180,1,True,AJFRPRVWOFVBAQ
m_88505f,s_e0ee31dc,enveda-180,1,True,AJFRPRVWOFVBAQ
m_88505f,s_e10f81ba,enveda-180,1,True,AJFRPRVWOFVBAQ
m_f866a0,s_2be90450,enveda-180,1,True,ANYTWNPTVLBXEP
m_f866a0,s_241b2fae,enveda-180,1,True,ANYTWNPTVLBXEP
m_f866a0,s_31669b8d,enveda-180,1,True,ANYTWNPTVLBXEP
m_5bfac3,s_6d7b0b1c,enveda-180,1,True,BEINBJRRGSASLB
m_5bfac3,s_5cc8bb1e,enveda-180,1,True,BEINBJRRGSASLB
m_935b22,s_cec3d35c,enveda-180,1,True,BIWDGVVCOGGTSW
m_935b22,s_66e861df,enveda-180,1,True,BIWDGVVCOGGTSW
m_935b22,s_c6824d7a,enveda-180,1,True,BIWDGVVCOGGTSW
m_935b22,s_5a9c22fd,enveda-180,1,True,BIWDGVVCOGGTSW
m_f0bee0,s_d3d0efbc,enveda-180,1,True,BJPMSZCQKMVUEJ
m_f0bee0,s_c879674a,enveda-180,1,True,BJPMSZCQKMVUEJ
m_1a0749,s_9769c402,enveda-180,1,True,BKBIJJIYNSICSX
m_1a0749,s_308ff21a,enveda-180,1,True,BKBIJJIYNSICSX
m_006153,s_cb15f0ac,enveda-180,1,True,BKIHGKNEJKYYAC
m_006153,s_7151fa86,enveda-180,1,True,BKIHGKNEJKYYAC
m_006153,s_3c74e9fe,enveda-180,1,True,BKIHGKNEJKYYAC
m_0ee46b,s_213e8d6c,enveda-180,1,True,BMRJIBQMZSUMKX
m_0ee46b,s_c0386051,enveda-180,1,True,BMRJIBQMZSUMKX
m_0ee46b,s_8408005c,enveda-180,1,True,BMRJIBQMZSUMKX
m_0ee46b,s_925b1a6f,enveda-180,1,True,BMRJIBQMZSUMKX
m_99e777,s_df65986c,enveda-180,1,True,BOQLDUACCFWEBR
m_99e777,s_8e79c8bc,enveda-180,1,True,BOQLDUACCFWEBR
m_99e777,s_c8126d5b,enveda-180,1,True,BOQLDUACCFWEBR
m_99e777,s_bbbd5e9c,enveda-180,1,True,BOQLDUACCFWEBR
m_80401f,s_cc108ad8,enveda-180,1,True,BQSZXPNNHPUMKN
m_80401f,s_27ff3e0c,enveda-180,1,True,BQSZXPNNHPUMKN
m_80401f,s_1b883821,enveda-180,1,True,BQSZXPNNHPUMKN
m_80401f,s_088bc37a,enveda-180,1,True,BQSZXPNNHPUMKN
m_4bb17c,s_b3da01a5,enveda-180,1,True,BSSOYEXZIZTTOL
m_4bb17c,s_2613a82a,enveda-180,1,True,BSSOYEXZIZTTOL
m_4bb17c,s_ee773728,enveda-180,1,True,BSSOYEXZIZTTOL
m_d74296,s_eaf07687,enveda-180,1,True,BUBWLZKVGONNCB
m_c1ec62,s_74cd6d21,enveda-180,1,True,BUHRMLBQBLGSBI
m_c1ec62,s_1ab7a2e0,enveda-180,1,True,BUHRMLBQBLGSBI
m_c1ec62,s_c1838652,enveda-180,1,True,BUHRMLBQBLGSBI
m_c1ec62,s_97391140,enveda-180,1,True,BUHRMLBQBLGSBI
m_64306c,s_4cbe34f7,enveda-180,1,True,BYIPBJHDWPXMMC
m_64306c,s_9c5f3a18,enveda-180,1,True,BYIPBJHDWPXMMC
m_bcdd81,s_5959b708,enveda-180,1,True,BZENAESQIDFGRR
m_bcdd81,s_4ed04f22,enveda-180,1,True,BZENAESQIDFGRR
m_bcdd81,s_1ddc78ea,enveda-180,1,True,BZENAESQIDFGRR
m_bcdd81,s_05a57460,enveda-180,1,True,BZENAESQIDFGRR
m_0fe9d9,s_6c7ba568,enveda-180,1,True,BZRPSDCHCYULTF
m_0fe9d9,s_732b0d1a,enveda-180,1,True,BZRPSDCHCYULTF
m_156305,s_196d36ee,enveda-180,1,True,CIBBOJIMBGXBCA
m_cad5a6,s_5da6ebf2,enveda-180,1,True,CKSKIGUPHAWUKG
m_cad5a6,s_1be7c418,enveda-180,1,True,CKSKIGUPHAWUKG
m_cad5a6,s_b9b373bc,enveda-180,1,True,CKSKIGUPHAWUKG
m_cad5a6,s_ac726249,enveda-180,1,True,CKSKIGUPHAWUKG
m_3f6bab,s_de91f50a,enveda-180,1,True,CPBRKLFURDMWSO
m_b7d932,s_251cda01,enveda-180,1,True,CPOXWCNXDHFHDA
m_ce56d4,s_ab99e31d,enveda-180,1,True,CRCNUBKPOWHRGZ
m_ce56d4,s_207b1c1c,enveda-180,1,True,CRCNUBKPOWHRGZ
m_ce56d4,s_ea9c655e,enveda-180,1,True,CRCNUBKPOWHRGZ
m_2ac2ed,s_56f77d57,enveda-180,1,True,CRHFPOACQIURIM
m_2ac2ed,s_ff35853f,enveda-180,1,True,CRHFPOACQIURIM
m_8e45f7,s_cd0c2ee6,enveda-180,1,True,CRGWXEZJRYKVMV
m_8e45f7,s_cc6f39af,enveda-180,1,True,CRGWXEZJRYKVMV
m_8d19fa,s_d5c95ea0,enveda-180,1,True,BRJPAXQZDQTQRY
m_006153,s_59a80abf,enveda-180,1,True,BKIHGKNEJKYYAC
m_006153,s_86472581,enveda-180,1,True,BKIHGKNEJKYYAC
m_006153,s_54245904,enveda-180,1,True,BKIHGKNEJKYYAC
m_e44302,s_7796a4ea,enveda-180,1,True,BPXFXKKOUKUYHJ
m_e44302,s_65c3e17d,enveda-180,1,True,BPXFXKKOUKUYHJ
m_bcdd81,s_d496ec44,enveda-180,1,True,BZENAESQIDFGRR
m_0fe9d9,s_8b5f59ce,enveda-180,1,True,BZRPSDCHCYULTF
m_0fe9d9,s_85553a19,enveda-180,1,True,BZRPSDCHCYULTF
m_156305,s_6bc22805,enveda-180,1,True,CIBBOJIMBGXBCA
m_156305,s_5670a053,enveda-180,1,True,CIBBOJIMBGXBCA
m_3f6bab,s_0ba582ba,enveda-180,1,True,CPBRKLFURDMWSO
m_3f6bab,s_3eee1f2e,enveda-180,1,True,CPBRKLFURDMWSO
m_3f6bab,s_16a00096,enveda-180,1,True,CPBRKLFURDMWSO
m_068354,s_534da9eb,enveda-180,1,True,DHWCXOPDOJDBNV
m_068354,s_764efff3,enveda-180,1,True,DHWCXOPDOJDBNV
m_6e1c94,s_c5f172f4,enveda-180,1,True,CUHHUBDAIYMTEO
m_6e1c94,s_70a0daa5,enveda-180,1,True,CUHHUBDAIYMTEO
m_70fe91,s_58651c0c,enveda-180,1,True,CVEHOKWRVDVIGR
m_70fe91,s_08bebf57,enveda-180,1,True,CVEHOKWRVDVIGR
m_70fe91,s_6a3d9168,enveda-180,1,True,CVEHOKWRVDVIGR
m_328338,s_14bb8f82,enveda-180,1,True,CZBQDUCJVZWDNB
m_328338,s_8b42f52b,enveda-180,1,True,CZBQDUCJVZWDNB
m_328338,s_36e9690c,enveda-180,1,True,CZBQDUCJVZWDNB
m_80b537,s_40bf548d,enveda-180,1,True,DFPCTLNLMZLUAM
m_80b537,s_a060476d,enveda-180,1,True,DFPCTLNLMZLUAM
m_068354,s_8801cdac,enveda-180,1,True,DHWCXOPDOJDBNV
m_068354,s_bf7ed9c8,enveda-180,1,True,DHWCXOPDOJDBNV
m_a94f72,s_0c3a2d9a,enveda-180,1,True,DIEBCVUBMQQHOU
m_a94f72,s_4e56bca9,enveda-180,1,True,DIEBCVUBMQQHOU
m_8db7e3,s_3142d817,enveda-180,1,True,DIROQCYJENWMMI
m_8db7e3,s_cc70b002,enveda-180,1,True,DIROQCYJENWMMI
m_8db7e3,s_831bc690,enveda-180,1,True,DIROQCYJENWMMI
m_8db7e3,s_83f93e34,enveda-180,1,True,DIROQCYJENWMMI
m_ec2936,s_bc3c1a8d,enveda-180,1,True,DJMOUMJSWDZXTM
m_ec2936,s_641c4918,enveda-180,1,True,DJMOUMJSWDZXTM
m_ec2936,s_82cf64a2,enveda-180,1,True,DJMOUMJSWDZXTM
m_ec2936,s_1ccb4398,enveda-180,1,True,DJMOUMJSWDZXTM
m_1f86e6,s_e2bcf354,enveda-180,1,True,DKOWSYCFCPIBMY
m_1f86e6,s_d71ceca7,enveda-180,1,True,DKOWSYCFCPIBMY
m_1f86e6,s_cdab6965,enveda-180,1,True,DKOWSYCFCPIBMY
m_1f86e6,s_c9426ab1,enveda-180,1,True,DKOWSYCFCPIBMY
m_62973b,s_12b970d4,enveda-180,1,True,DOUDQEKAZWTKJM
m_62973b,s_83cd9f0c,enveda-180,1,True,DOUDQEKAZWTKJM
m_62973b,s_d86f27b1,enveda-180,1,True,DOUDQEKAZWTKJM
m_b8f328,s_065bc0da,enveda-180,1,True,DPWOAOHDOUERJI
m_76ffc5,s_806843e8,enveda-180,1,True,DQBKGIKCXWEPJU
m_76ffc5,s_637d1f6b,enveda-180,1,True,DQBKGIKCXWEPJU
m_e1d7ad,s_14e52521,enveda-180,1,True,DRODYACLPOTBOW
m_e1d7ad,s_6549e002,enveda-180,1,True,DRODYACLPOTBOW
m_bb75e4,s_1c927d87,enveda-180,1,True,FAWMTNVPTJLMJD
m_bb75e4,s_dca61f70,enveda-180,1,True,FAWMTNVPTJLMJD
m_6e1c94,s_168716ba,enveda-180,1,True,CUHHUBDAIYMTEO
m_6e1c94,s_9e8486af,enveda-180,1,True,CUHHUBDAIYMTEO
m_2363c0,s_62669d4a,enveda-180,1,True,CVZIRAZSTKYLJV
m_2363c0,s_b7936e63,enveda-180,1,True,CVZIRAZSTKYLJV
m_43683b,s_b55ad56a,enveda-180,1,True,DBIQVJHQODZHIW
m_5c8d41,s_09c1126e,enveda-180,1,True,DBRNPKJGVBMZMR
m_5c8d41,s_e8e36b1a,enveda-180,1,True,DBRNPKJGVBMZMR
m_068354,s_8e33bc2b,enveda-180,1,True,DHWCXOPDOJDBNV
m_068354,s_07d3ca77,enveda-180,1,True,DHWCXOPDOJDBNV
m_a94f72,s_fd2eac9b,enveda-180,1,True,DIEBCVUBMQQHOU
m_b8f328,s_900c1667,enveda-180,1,True,DPWOAOHDOUERJI
m_e1bfd4,s_7b8aab5c,enveda-180,1,True,FADNYNMDTALVPK
m_e1bfd4,s_0c041705,enveda-180,1,True,FADNYNMDTALVPK
m_e1f9f4,s_08fbb00b,enveda-180,1,True,FCASSOAFAVZQDU
m_e1f9f4,s_78720422,enveda-180,1,True,FCASSOAFAVZQDU
m_d7ecc5,s_3b44a085,enveda-180,1,True,FCAVESNKNGJFHF
m_2c1f87,s_6d56c7a6,enveda-180,1,True,FJJAUVFKTCIOTL
m_2c1f87,s_78d74af3,enveda-180,1,True,FJJAUVFKTCIOTL
m_1777b7,s_ceb8fa51,enveda-180,1,True,FJSUFLVMJNFERJ
m_1777b7,s_c44b62bc,enveda-180,1,True,FJSUFLVMJNFERJ
m_1777b7,s_1d7cd1ca,enveda-180,1,True,FJSUFLVMJNFERJ
m_34c315,s_5d21e5b8,enveda-180,1,True,FKQMBNXRLRDHNG
m_34c315,s_1467abec,enveda-180,1,True,FKQMBNXRLRDHNG
m_34c315,s_5667e60d,enveda-180,1,True,FKQMBNXRLRDHNG
m_b4039c,s_0cd25053,enveda-180,1,True,FLKCEVOQCCVJQG
m_b4039c,s_2c70bedc,enveda-180,1,True,FLKCEVOQCCVJQG
m_3ce578,s_fcbdca70,enveda-180,1,True,FMMWOVBMZWZIJU
m_3ce578,s_e8d91a2f,enveda-180,1,True,FMMWOVBMZWZIJU
m_3ce578,s_aa4ddebd,enveda-180,1,True,FMMWOVBMZWZIJU
m_3ce578,s_633b7b06,enveda-180,1,True,FMMWOVBMZWZIJU
m_12945e,s_d62073ca,enveda-180,1,True,FOLOTNXCHRAROS
m_12945e,s_e9222d35,enveda-180,1,True,FOLOTNXCHRAROS
m_12945e,s_cf6dfa75,enveda-180,1,True,FOLOTNXCHRAROS
m_12945e,s_616fdb91,enveda-180,1,True,FOLOTNXCHRAROS
m_3aecdc,s_73a2e107,enveda-180,1,True,FYIJYXGYWPNNDQ
m_3aecdc,s_e10531ac,enveda-180,1,True,FYIJYXGYWPNNDQ
m_d07b86,s_d1427269,enveda-180,1,True,FZTLKIRJANNHPV
m_d07b86,s_0e143bce,enveda-180,1,True,FZTLKIRJANNHPV
m_163da0,s_83a5798a,enveda-180,1,True,GDLYHCGHMMYDPX
m_163da0,s_37bd16b1,enveda-180,1,True,GDLYHCGHMMYDPX
m_163da0,s_4cb2d778,enveda-180,1,True,GDLYHCGHMMYDPX
m_163da0,s_f328ada3,enveda-180,1,True,GDLYHCGHMMYDPX
m_93b6a1,s_b0767a22,enveda-180,1,True,GFJUVKDXUQFWGA
m_93b6a1,s_a4c508ff,enveda-180,1,True,GFJUVKDXUQFWGA
m_93b6a1,s_02f12d3b,enveda-180,1,True,GFJUVKDXUQFWGA
m_153108,s_fbaf1024,enveda-180,1,True,GGCHMVOOKDYXSS
m_9f1fb6,s_c18f7d4d,enveda-180,1,True,GHLPPAOPXNVWIG
m_9f1fb6,s_81761320,enveda-180,1,True,GHLPPAOPXNVWIG
m_c1b10a,s_b4966e3e,enveda-180,1,True,GKICJZBBRZVJIU
m_c1b10a,s_1771fdf5,enveda-180,1,True,GKICJZBBRZVJIU
m_c1b10a,s_06629525,enveda-180,1,True,GKICJZBBRZVJIU
m_e1f9f4,s_efa683dc,enveda-180,1,True,FCASSOAFAVZQDU
m_3ce578,s_115ae5b9,enveda-180,1,True,FMMWOVBMZWZIJU
m_3ce578,s_5ec2e28d,enveda-180,1,True,FMMWOVBMZWZIJU
m_d07b86,s_4b548feb,enveda-180,1,True,FZTLKIRJANNHPV
m_b53b6e,s_4b553b55,enveda-180,1,True,GGZKKKSVYMJEJU
m_b53b6e,s_8e25d8e3,enveda-180,1,True,GGZKKKSVYMJEJU
m_e8d835,s_7e92a341,enveda-180,1,True,GHTKRMKMDZJTKV
m_568a04,s_1f55d13a,enveda-180,1,True,GSLXORCTXQWWBG
m_568a04,s_178998b3,enveda-180,1,True,GSLXORCTXQWWBG
m_de93b1,s_f6f29695,enveda-180,1,True,GTYBHLUGAHROQW
m_4b55af,s_56c9eeb5,enveda-180,1,True,GVEQHENDNGYWEZ
m_4b55af,s_4ac24984,enveda-180,1,True,GVEQHENDNGYWEZ
m_4b55af,s_ce56e5ef,enveda-180,1,True,GVEQHENDNGYWEZ
m_4b55af,s_f6066a9f,enveda-180,1,True,GVEQHENDNGYWEZ
m_fea652,s_33688567,enveda-180,1,True,GVGOYEZNOGXAMI
m_fea652,s_c4f766e9,enveda-180,1,True,GVGOYEZNOGXAMI
m_fea652,s_38b07bff,enveda-180,1,True,GVGOYEZNOGXAMI
m_fea652,s_e513e64e,enveda-180,1,True,GVGOYEZNOGXAMI
m_2e265c,s_e562cf3e,enveda-180,1,True,HDOGNYUMIUVMDB
m_2e265c,s_f364a024,enveda-180,1,True,HDOGNYUMIUVMDB
m_2e265c,s_af9135c9,enveda-180,1,True,HDOGNYUMIUVMDB
m_2e265c,s_aa66261e,enveda-180,1,True,HDOGNYUMIUVMDB
m_8eaf01,s_ee0e0c5c,enveda-180,1,True,HEUSXCAKPLBHCB
m_8eaf01,s_d783f158,enveda-180,1,True,HEUSXCAKPLBHCB
m_847112,s_ee52ca85,enveda-180,1,True,HGNRXIGVRNKREU
m_847112,s_b22417c0,enveda-180,1,True,HGNRXIGVRNKREU
m_847112,s_49872274,enveda-180,1,True,HGNRXIGVRNKREU
m_847112,s_96310283,enveda-180,1,True,HGNRXIGVRNKREU
m_aa5754,s_600d25bc,enveda-180,1,True,HHWGCTUDMGUWSE
m_aa5754,s_41871807,enveda-180,1,True,HHWGCTUDMGUWSE
m_aa5754,s_b10301ab,enveda-180,1,True,HHWGCTUDMGUWSE
m_aa5754,s_96f83fc8,enveda-180,1,True,HHWGCTUDMGUWSE
m_163bfd,s_0846dbf4,enveda-180,1,True,HJYHATVJDPOXJL
m_163bfd,s_39ecc817,enveda-180,1,True,HJYHATVJDPOXJL
m_163bfd,s_6c6b3102,enveda-180,1,True,HJYHATVJDPOXJL
m_163bfd,s_fb570657,enveda-180,1,True,HJYHATVJDPOXJL
m_7108be,s_65aabcb0,enveda-180,1,True,HMBVMJFEDBMGPC
m_7108be,s_83774602,enveda-180,1,True,HMBVMJFEDBMGPC
m_7108be,s_ec2ee535,enveda-180,1,True,HMBVMJFEDBMGPC
m_7108be,s_db58e980,enveda-180,1,True,HMBVMJFEDBMGPC
m_b047da,s_4fd85cd2,enveda-180,1,True,HNKCVRWXJHQJHP
m_b047da,s_396f2f73,enveda-180,1,True,HNKCVRWXJHQJHP
m_fe6eaa,s_ca6aa83f,enveda-180,1,True,HNWMMHAYBHVTJA
m_fe6eaa,s_e2ca8707,enveda-180,1,True,HNWMMHAYBHVTJA
m_7e912f,s_e340ff37,enveda-180,1,True,HQLQXCITFQCBSC
m_7e912f,s_4263bb04,enveda-180,1,True,HQLQXCITFQCBSC
m_7e912f,s_fc49f16f,enveda-180,1,True,HQLQXCITFQCBSC
m_7e912f,s_8cba30c2,enveda-180,1,True,HQLQXCITFQCBSC
m_c50497,s_e37ba559,enveda-180,1,True,GPRUVNBBDBNFJU
m_c50497,s_b21c7466,enveda-180,1,True,GPRUVNBBDBNFJU
m_c50497,s_7a72737a,enveda-180,1,True,GPRUVNBBDBNFJU
m_c50497,s_99588d49,enveda-180,1,True,GPRUVNBBDBNFJU
m_2e265c,s_4a3dbbfe,enveda-180,1,True,HDOGNYUMIUVMDB
m_fe6eaa,s_ce40aed6,enveda-180,1,True,HNWMMHAYBHVTJA
m_fe6eaa,s_1a95ca20,enveda-180,1,True,HNWMMHAYBHVTJA
m_1beae5,s_03bc9d46,enveda-180,1,True,HVFDNHNAHASRNP
m_1beae5,s_830ffa78,enveda-180,1,True,HVFDNHNAHASRNP
m_db2c0e,s_d80ee2a0,enveda-180,1,True,HVWILWWKSIFNPA
m_21cd44,s_d2150700,enveda-180,1,True,IBKWTCBEFLAHNY
m_21cd44,s_44e175ef,enveda-180,1,True,IBKWTCBEFLAHNY
m_21cd44,s_9d2913c4,enveda-180,1,True,IBKWTCBEFLAHNY
m_451ad6,s_e1c1cabf,enveda-180,1,True,IBORVGHHYJGFAP
m_451ad6,s_44ab4397,enveda-180,1,True,IBORVGHHYJGFAP
m_ff926d,s_53c662f2,enveda-180,1,True,ICZSPSYZAIIGPR
m_ff926d,s_272e5f30,enveda-180,1,True,ICZSPSYZAIIGPR
m_ff926d,s_5863e2fe,enveda-180,1,True,ICZSPSYZAIIGPR
m_ff926d,s_370ccb09,enveda-180,1,True,ICZSPSYZAIIGPR
m_6f45e5,s_9e2d42cc,enveda-180,1,True,IEGXJTQGHCGPSF
m_6f45e5,s_b78a99eb,enveda-180,1,True,IEGXJTQGHCGPSF
m_e8359d,s_9391385c,enveda-180,1,True,IFIFZCQRWIESID
m_e8359d,s_a74f69f3,enveda-180,1,True,IFIFZCQRWIESID
m_e8359d,s_7f36169e,enveda-180,1,True,IFIFZCQRWIESID
m_e8359d,s_c82d61bb,enveda-180,1,True,IFIFZCQRWIESID
m_1de28b,s_dbf430ce,enveda-180,1,True,IFVLVEPBWXRHDO
m_2f9ab1,s_8eb60ddc,enveda-180,1,True,IHTAAUYDDMWMNZ
m_2f9ab1,s_cc4f958c,enveda-180,1,True,IHTAAUYDDMWMNZ
m_2f9ab1,s_7abd8794,enveda-180,1,True,IHTAAUYDDMWMNZ
m_78cd05,s_d8e7789d,enveda-180,1,True,IIBPIELSCZOCFD
m_78cd05,s_d6cb3bbe,enveda-180,1,True,IIBPIELSCZOCFD
m_78cd05,s_c5eadd95,enveda-180,1,True,IIBPIELSCZOCFD
m_0d2197,s_d35f2dc0,enveda-180,1,True,IJZXFCJIVSCQJZ
m_cd6458,s_86ac31c8,enveda-180,1,True,IKLJTZGXPRDQIW
m_cd6458,s_18c2bc80,enveda-180,1,True,IKLJTZGXPRDQIW
m_7125ae,s_adfdc84b,enveda-180,1,True,ILZJXQVXKTVFBL
m_7125ae,s_61483aa9,enveda-180,1,True,ILZJXQVXKTVFBL
m_7125ae,s_f7e169d6,enveda-180,1,True,ILZJXQVXKTVFBL
m_a06450,s_2cfe6fef,enveda-180,1,True,IOAROHGXJSVPCV
m_e6bed4,s_45ee21d7,enveda-180,1,True,IOPMMYQYCZTONE
m_e6bed4,s_c492f9bc,enveda-180,1,True,IOPMMYQYCZTONE
m_e6bed4,s_a798e637,enveda-180,1,True,IOPMMYQYCZTONE
m_e6bed4,s_3893b67c,enveda-180,1,True,IOPMMYQYCZTONE
m_47617a,s_072458d7,enveda-180,1,True,IQDBBRDUPYUIDJ
m_c2176f,s_733a5d8d,enveda-180,1,True,ISBKZTZZPMFIFS
m_134d4a,s_d83cde04,enveda-180,1,True,ISRQWOBVDNBKPQ
m_134d4a,s_f099e04a,enveda-180,1,True,ISRQWOBVDNBKPQ
m_134d4a,s_bb59f713,enveda-180,1,True,ISRQWOBVDNBKPQ
m_134d4a,s_638b54bd,enveda-180,1,True,ISRQWOBVDNBKPQ
m_27df2d,s_07e0bd6b,enveda-180,1,True,IYAQVXJBEFFWLE
m_27df2d,s_e9e42d67,enveda-180,1,True,IYAQVXJBEFFWLE
m_c63e89,s_9f0fdf12,enveda-180,1,True,IYSGNYXQUJQSMM
m_c63e89,s_c9a80dad,enveda-180,1,True,IYSGNYXQUJQSMM
m_c63e89,s_f8f0b330,enveda-180,1,True,IYSGNYXQUJQSMM
m_c63e89,s_15baaa67,enveda-180,1,True,IYSGNYXQUJQSMM
m_59b1bd,s_cd5a5eb7,enveda-180,1,True,IYTRFLRAVRZEQE
m_76b47b,s_3471d32f,enveda-180,1,True,IYUCXFRZGVXFEJ
m_76b47b,s_7e13afc5,enveda-180,1,True,IYUCXFRZGVXFEJ
m_76b47b,s_a9875197,enveda-180,1,True,IYUCXFRZGVXFEJ
m_e5b5fa,s_01862e5a,enveda-180,1,True,IZPXTLUIVYPVEZ
m_1beae5,s_8f7e15f2,enveda-180,1,True,HVFDNHNAHASRNP
m_e8359d,s_b6512565,enveda-180,1,True,IFIFZCQRWIESID
m_e8359d,s_3b5f4756,enveda-180,1,True,IFIFZCQRWIESID
m_e8359d,s_3316b7f6,enveda-180,1,True,IFIFZCQRWIESID
m_db2c0e,s_4a499ea2,enveda-180,1,True,HVWILWWKSIFNPA
m_e8359d,s_bbf0eaa6,enveda-180,1,True,IFIFZCQRWIESID
m_e8359d,s_24a837e2,enveda-180,1,True,IFIFZCQRWIESID
m_417c79,s_b42641a0,enveda-180,1,True,IHCCTNMUQJUVIW
m_417c79,s_3d1b457e,enveda-180,1,True,IHCCTNMUQJUVIW
m_2f9ab1,s_761a8f2b,enveda-180,1,True,IHTAAUYDDMWMNZ
m_78cd05,s_e7b035c6,enveda-180,1,True,IIBPIELSCZOCFD
m_cd6458,s_6afa8315,enveda-180,1,True,IKLJTZGXPRDQIW
m_cd6458,s_a4d3d471,enveda-180,1,True,IKLJTZGXPRDQIW
m_a06450,s_1a57634d,enveda-180,1,True,IOAROHGXJSVPCV
m_c89ffd,s_b9efc889,enveda-180,1,True,IOIGMLWJCNCLJN
m_c63e89,s_d2d42d44,enveda-180,1,True,IYSGNYXQUJQSMM
m_c63e89,s_e57d6752,enveda-180,1,True,IYSGNYXQUJQSMM
m_c63e89,s_dd02df5d,enveda-180,1,True,IYSGNYXQUJQSMM
m_c63e89,s_ed8a26b7,enveda-180,1,True,IYSGNYXQUJQSMM
m_59b1bd,s_a4d626f8,enveda-180,1,True,IYTRFLRAVRZEQE
m_76b47b,s_02254dc9,enveda-180,1,True,IYUCXFRZGVXFEJ
m_6b66aa,s_68c0382e,enveda-180,1,True,IZUZDVOOIARAKZ
m_6b66aa,s_0a8922e3,enveda-180,1,True,IZUZDVOOIARAKZ
m_6b66aa,s_c08f810e,enveda-180,1,True,IZUZDVOOIARAKZ
m_6b66aa,s_b713b427,enveda-180,1,True,IZUZDVOOIARAKZ
m_9b95d4,s_5a21ed55,enveda-180,1,True,JEPMLAUKFBYKIY
m_9b95d4,s_9169708a,enveda-180,1,True,JEPMLAUKFBYKIY
m_75100f,s_5edd279d,enveda-180,1,True,KGYPTQRPQQRAIM
m_75100f,s_83d0de65,enveda-180,1,True,KGYPTQRPQQRAIM
m_75100f,s_5eca4612,enveda-180,1,True,KGYPTQRPQQRAIM
m_916daf,s_7f141a04,enveda-180,1,True,KIWAMTMRWXTTIM
m_9b95d4,s_437b3923,enveda-180,1,True,JEPMLAUKFBYKIY
m_9b95d4,s_8b9d3b82,enveda-180,1,True,JEPMLAUKFBYKIY
m_edaa12,s_21e7ac06,enveda-180,1,True,JFXQFUIKITUWIX
m_edaa12,s_81dcd816,enveda-180,1,True,JFXQFUIKITUWIX
m_c9a4bc,s_c7434373,enveda-180,1,True,JIGIERLOYHYCCC
m_987cff,s_9e5ad2c9,enveda-180,1,True,JIWJLVGABIMHQJ
